Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2019,Kia,Sportage,18671,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7400
2014,Toyota,Camry,157715,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,17680
2010,Audi,A6,220000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,13500
2017,Nissan,Rogue,19934,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4300
2018,Acura,ILX,17254,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4700
2020,Kia,Sportage,14523,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,8600
2016,BMW,320,191994,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,3500
2017,Nissan,Versa,133948,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,1900
2013,Nissan,Pathfinder,225308,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,Մաքսազերծված,16700
2021,Nissan,Sentra,18932,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6200
2017,Audi,A4,49889,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8000
2016,BMW,428,73682,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,մաքսազերծված չ,15500
2019,Toyota,Tundra,23665,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,15100
2016,Ford,Fusion,198000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,1800
1995,Mercedes-Benz,320,255258,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,3900
2021,Nissan,Kicks,5699,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7700
2020,Honda,Accord,17395,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7200
2018,BMW,X5,71462,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,21000
2019,BMW,M3,42015,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,13600
2014,Toyota,Camry,156106,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,17600
2017,Land,Rover Discovery Sport,23108,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,10200
2018,Mazda,CX5,48441,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,8000
2020,Acura,MDX,17134,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12200
2016,Hyundai,Elantra,24981,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,3200
2021,Toyota,Camry,77913,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,22000
2017,Mazda,6,21934,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,3800
